,name,state,id,pop_2020
23939,Wellington township,North Dakota,1026a2ac,29
30059,Benedict township,South Dakota,33345633,29
30255,Dale UT,South Dakota,c6045e8f,29
30466,Hamilton township (Marshall County),South Dakota,30ebe72a,29
30693,Marvin town,South Dakota,e13067b7,29
30812,Ontario township,South Dakota,66c31c69,29
30929,Rex township,South Dakota,2ad545f3,29
31178,Watauga township,South Dakota,50a24e57,29
18930,Moorefield village,Nebraska,5c4cf7f6,30
19148,Steel Creek township,Nebraska,e8345e94,30
19206,Verdel village,Nebraska,1a0bcfe9,30
22397,Beery township,North Dakota,8c3f2f29,30
22415,Bethel township,North Dakota,7ee453c1,30
22434,Blackwater township,North Dakota,006065a9,30
22493,Bull Moose township,North Dakota,6480dfc9,30
22595,Columbia township,North Dakota,97b3d81d,30
